Activity,Class,Term,Format,Instr,School,,,,,,,,,,
Final Project Team Formation,CS 480,Spring 2020,Lecture w/ Lab,Carter,Humboldt State University,,,,,,,,,,
,,,,,,,,,,,,,,,
Name,Student ID,Email,Team Name,Race,GPA,Prev. Course,Schedule,Weekends,On-Campus Job,Off-Campus Job,Year,Software,Big Pict,Sports,Tot (Max 26)
"A, B",1,email@domain.com,1 (M),,,,,,,,,,,,
"C, D",2,email@domain.com,1 (M),,,,,,,,,,,,
"E, F",3,email@domain.com,1 (M),White,3.87 (3),3.3 (2),"Mon9,Mon10,Mon13,Mon14,Mon15,Mon16,Tue11,Tue12,Tue13,Tue14,Tue15,Tue16,Wed9,Wed10,Wed15,Wed16,Wed17,Thu11,Thu12,Thu14,Thu15,Thu16,Fri13,Fri14,Fri15,Fri16,Sun17,Sun18,Sun19,Sun20,Sun21",Avoid,20 (4),0 (1),Senior,Good,Balanced,,
Scores:,,,,0,0,0,0,0,0,0,0,0,0,0,0
"H, I",4,email@domain.com,8 (M),Other,3.35 (2),2 (1),"Mon11,Mon12,Tue9,Tue10,Tue15,Tue16,Tue17,Tue18,Tue19,Wed11,Wed12,Wed15,Wed16,Thu9,Thu10,Thu15,Thu17,Thu18,Thu19,Fri9,Fri10",OK,0 (1),0 (1),Junior,Basic,Balanced,,
"J, K",5,email@domain.com,8 (M),Hispanic,2.5 (1),2 (1),"Mon8,Mon9,Mon10,Tue9,Tue10,Tue15,Tue16,Wed15,Wed16,Wed17,Thu15,Thu16,Fri9,Fri10,Fri11",OK,0 (1),10 (2),Senior,Basic,Balanced,,
"L, M",6,email@domain.com,8 (M),Other,2.59 (1),3 (1),"Sun16,Sun15,Sun14,Sun13,Sun12,Sat21,Sat20,Sat19,Sat18,Sat17,Fri17,Fri16,Fri15,Fri14,Fri13,Fri12,Fri11,Fri10,Fri9,Thu21,Thu20,Thu19,Thu16,Thu15,Thu12,Thu11,Wed14,Wed13,Wed12,Wed11,Wed10,Wed9,Tue16,Tue15,Tue12,Tue11,Mon19,Mon18,Mon17,Mon16,Mon15,Mon14,Mon13,Mon12,Mon11,Mon10,Mon9",OK,15 (4),20 (4),Senior,Good,Balanced,,
Scores:,,,,0,1.33,-3,5,2,-0.67,-2,0,1,-2,0,1.67
"N, O",7,email@domain.com,5 (M),White,3.0 (1),3 (1),"Mon13,Mon14,Tue13,Tue14,Tue17,Tue18,Tue19,Tue20,Tue21,Wed11,Wed12,Wed13,Wed14,Wed17,Wed18,Wed19,Wed20,Wed21,Thu13,Thu14,Thu17,Thu18,Thu19,Thu20,Thu21,Fri11,Fri12,Fri13,Fri14,Sat10,Sat11,Sat12,Sat13,Sat14,Sat15,Sat16,Sat17,Sun10,Sun11,Sun12,Sun13,Sun14",Avoid,0 (1),28 (4),Senior,Good,Balanced,Soccer (W),
"P, Q",8,email@domain.com,5 (M),Hispanic,3.75 (3),4.0 (3),"Fri10,Fri9,Thu21,Thu20,Thu19,Thu16,Thu15,Thu12,Thu11,Wed21,Wed20,Wed19,Wed10,Wed9,Tue21,Tue20,Tue19,Tue16,Tue15,Tue12,Tue11,Mon18,Mon17,Mon16,Mon13,Mon12,Mon11,Mon10,Mon9",OK,14 (2),0 (1),Senior,Expert,Prefers Ideas,,
"R, S",9,email@domain.com,5 (M),White,2.61 (1),2 (1),"Fri16,Fri15,Fri14,Fri13,Fri11,Fri10,Fri9,Thu16,Thu15,Thu13,Thu12,Thu11,Thu10,Thu9,Wed17,Wed16,Wed15,Wed14,Wed13,Wed12,Wed11,Wed10,Wed9,Tue16,Tue15,Tue13,Tue12,Tue11,Tue10,Tue9,Mon15,Mon14,Mon13,Mon11,Mon10,Mon9",OK,0 (1),7 (2),Senior,Basic,Prefers Detail,,
Scores:,,,,0,1.33,1,5,-0.67,-0.67,-2,0,3,2,0,9
"T, U",10,email@domain.com,6 (M),White,3.1 (2),4 (3),"Mon11,Mon12,Mon13,Mon14,Tue9,Tue10,Tue15,Tue16,Tue17,Wed11,Wed12,Wed13,Wed14,Wed15,Wed16,Wed17,Thu9,Thu10,Thu15,Thu16,Thu17,Fri9,Fri10,Fri11,Fri12,Fri13,Fri14",OK,0 (1),0 (1),Senior,Basic,Prefers Detail,,
"V, W",11,email@domain.com,6 (M),White,3.6 (3),3.3 (2),"Mon9,Mon10,Mon11,Mon12,Mon13,Tue9,Tue10,Tue11,Tue12,Wed9,Wed10,Wed11,Wed12,Thu9,Thu10,Thu11,Thu12,Fri9,Fri10,Fri11,Fri17,Fri18,Fri19,Fri20,Sun14,Sun15,Sun16,Sun17",OK,3 (2),8 (2),Senior,Basic,Details,,
"X, Y",12,email@domain.com,6 (M),White,4.0 (3),4 (3),"Mon9,Mon10,Mon19,Mon20,Tue19,Tue20,Wed9,Wed10,Wed13,Wed14,Wed17,Wed18,Wed19,Wed20,Thu19,Thu20,Fri19,Fri20,Sat10,Sat11,Sat12,Sat13,Sat14,Sat15,Sat16,Sun10,Sun11,Sun12,Sun13,Sun14,Sun15,Sun16",OK,0 (1),26 (4),Senior,Good,Balanced,,
Scores:,,,,0,1.33,1,5,2,-0.67,-2,0,1,2,0,9.67
"Z, AA",13,email@domain.com,7 (M),Other,4.0 (3),4 (3),"Tue12,Tue13,Tue14,Tue15,Tue16,Wed9,Wed10,Wed11,Wed15,Wed16,Thu9,Thu10,Thu11,Thu12,Thu13,Thu14,Thu19,Thu20,Fri9,Fri10,Fri11,Fri12,Fri13,Fri17,Fri18,Fri19,Fri20,Fri21,Sat8,Sat9,Sat10,Sat11,Sat12,Sat13,Sat14,Mon9,Mon10,Mon11,Mon12,Mon13,Mon15,Mon16,Mon17,Mon18,Tue9,Tue10,Tue11",OK,8 (2),0 (1),Senior,Basic,Prefers Detail,,
